path,title,status,robots,word_count,h1_count,missing_alt_count,vague_link_count,flags,migration_status,recommended_target
/,"Custom Shutters, Shades & Blinds Ventura County | 805 Shutters",200,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",167,1,28,3,"vague_links,missing_alt,thin_indexable_content",needs_review,/
/about/,About 805 Shutters | Family-Owned Ventura County Window Treatments,200,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",266,1,0,0,,needs_review,/about/
/blinds/,Custom Blinds Ventura County | 805 Shutters,200,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",214,0,46,0,"h1_count,missing_alt,thin_indexable_content",needs_review,/blinds/
/blinds/camarillo-ca/,Blinds near Camarillo CA - 805 Shutters Shades & Blinds,200,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",828,1,0,0,,needs_review,/blinds/camarillo-ca/
/blinds/fillmore-ca/,Blinds near Fillmore CA - 805 Shutters Shades & Blinds,200,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",828,1,0,0,,needs_review,/blinds/fillmore-ca/
/blinds/moorpark-ca/,Blinds near Moorpark CA - 805 Shutters Shades & Blinds,200,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",828,1,0,0,,needs_review,/blinds/moorpark-ca/
/blinds/oak-park-ca/,Blinds near Oak Park CA - 805 Shutters Shades & Blinds,200,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",837,1,0,0,,needs_review,/blinds/oak-park-ca/
/blinds/ojai-ca/,Blinds near Ojai CA - 805 Shutters Shades & Blinds,200,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",828,1,0,0,,needs_review,/blinds/ojai-ca/
/blinds/oxnard-ca/,Blinds near Oxnard CA - 805 Shutters Shades & Blinds,200,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",828,1,0,0,,needs_review,/blinds/oxnard-ca/
/blinds/port-hueneme-ca/,Blinds near Port Hueneme CA - 805 Shutters Shades & Blinds,200,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",837,1,0,0,,needs_review,/blinds/port-hueneme-ca/
/blinds/santa-paula-ca/,Blinds near Santa Paula CA - 805 Shutters Shades & Blinds,200,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",837,1,0,0,,needs_review,/blinds/santa-paula-ca/
/blinds/santa-rosa-valley-ca/,Blinds near Santa Rosa Valley CA - 805 Shutters Shades & Blinds,200,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",846,1,0,0,,needs_review,/blinds/santa-rosa-valley-ca/
/blinds/simi-valley-ca/,Blinds near Simi Valley CA - 805 Shutters Shades & Blinds,200,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",837,1,0,0,,needs_review,/blinds/simi-valley-ca/
/blinds/thousand-oaks-ca/,Blinds near Thousand Oaks CA - 805 Shutters Shades & Blinds,200,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",837,1,0,0,,needs_review,/blinds/thousand-oaks-ca/
