"product_id","field","label","control_type","bounds_or_choices","export_status","saved_record","file","line","case_name","enclosing_function","applicability_expression","extraction_kind"
"norman_shutters","callback-bound: see rendered expression","see aria-label / enclosing label","input","<input aria-label={`Norman Bi-fold 180 ${label}`} className={cls} type=""number"" step=""0.0625"" min=""0"" value={r[key]??''} onChange={e=>update({[key]:e.target.value===''?null:Number(e.target.value)})}/>","typed/dedicated control; resolve with typed-records.csv","complete typed options_json record or dedicated callback","src/components/crm/NormanBifold180ConstructionOptions.tsx","8","","NormanBifold180ConstructionOptions","","dedicated JSX input"
"norman_shutters","callback-bound: see rendered expression","see aria-label / enclosing label","select","<select aria-label=""Norman Bi-fold 180 casing"" className={cls} value={r.casing} onChange={e=>update({casing:e.target.value as NormanBifold180Construction['casing'],referenceWidthInches:null,referenceHeightInches:null})}>","typed/dedicated control; resolve with typed-records.csv","complete typed options_json record or dedicated callback","src/components/crm/NormanBifold180ConstructionOptions.tsx","10","","NormanBifold180ConstructionOptions","","dedicated JSX input"
"norman_shutters","callback-bound: see rendered expression","see aria-label / enclosing label","select","<select aria-label=""Norman Bi-fold 180 header size"" className={cls} value={r.headerInches??''} onChange={e=>update({headerInches:e.target.value===''?null:Number(e.target.value) as 3|3.5})}>","typed/dedicated control; resolve with typed-records.csv","complete typed options_json record or dedicated callback","src/components/crm/NormanBifold180ConstructionOptions.tsx","13","","NormanBifold180ConstructionOptions","","dedicated JSX input"
"norman_shutters","callback-bound: see rendered expression","see aria-label / enclosing label","select","<select aria-label=""Norman Bi-fold 180 fascia"" className={cls} value={r.fascia} onChange={e=>update({fascia:e.target.value as NormanBifold180Construction['fascia']})}>","typed/dedicated control; resolve with typed-records.csv","complete typed options_json record or dedicated callback","src/components/crm/NormanBifold180ConstructionOptions.tsx","14","","NormanBifold180ConstructionOptions","","dedicated JSX input"
"norman_shutters","headerExtensionInches","Header extension (inches; 0 for none)","number","","not an exact exported detail-field ID","options_json.headerExtensionInches","src/components/crm/NormanBifold180ConstructionOptions.tsx","15","","NormanBifold180ConstructionOptions","","control helper"
"norman_shutters","baseboardThicknessInches","Baseboard thickness (inches; 0 for none)","number","","not an exact exported detail-field ID","options_json.baseboardThicknessInches","src/components/crm/NormanBifold180ConstructionOptions.tsx","17","","NormanBifold180ConstructionOptions","","control helper"
"norman_shutters","headerBuildoutInches","Header buildout (inches; 0 for none)","number","","not an exact exported detail-field ID","options_json.headerBuildoutInches","src/components/crm/NormanBifold180ConstructionOptions.tsx","18","","NormanBifold180ConstructionOptions","","control helper"
"norman_shutters","callback-bound: see rendered expression","see aria-label / enclosing label","select","<select aria-label=""Norman Bi-fold 180 bottom pivot L bracket"" className={cls} value={r.bottomPivotLBracket===null?'':String(r.bottomPivotLBracket)} onChange={e=>update({bottomPivotLBracket:e.target.value===''?null:e.target.value==='true'})}>","typed/dedicated control; resolve with typed-records.csv","complete typed options_json record or dedicated callback","src/components/crm/NormanBifold180ConstructionOptions.tsx","20","","NormanBifold180ConstructionOptions","","dedicated JSX input"
"norman_shutters","lightBlockExtensionInches","L-shape light-block extension width (inches)","number","","not an exact exported detail-field ID","options_json.lightBlockExtensionInches","src/components/crm/NormanBifold180ConstructionOptions.tsx","21","","NormanBifold180ConstructionOptions","","control helper"
"norman_contract_faux_wood|norman_contract_vertical","callback-bound: see rendered expression","see aria-label / enclosing label","select","<select aria-label={label} className={classes} value={String(value??"""")} onChange={e=>change(e.target.value)}>","typed/dedicated control; resolve with typed-records.csv","complete typed options_json record or dedicated callback","src/components/crm/NormanContractDesignOptions.tsx","16","","NormanContractDesignOptions","","dedicated JSX input"
