productId,programId,source,effectiveDate,sourcePages,width,height,dealerNet,retail,skus,status,exception
lotus_vinyl_blinds,lotus_mlx_1in_vinyl_custom,Lotus.pdf West A26.v1,,95,17.0,36,14.47,43.41,CMLX1736W,unresolved_exception,Imported source cell; production save/reopen and current custom authority not fully verified
lotus_vinyl_blinds,lotus_mlx_1in_vinyl_custom,Lotus.pdf West A26.v1,,95,23.0,36,15.66,46.98,CMLX2336W;CMLX2336A,unresolved_exception,Imported source cell; production save/reopen and current custom authority not fully verified
lotus_vinyl_blinds,lotus_mlx_1in_vinyl_custom,Lotus.pdf West A26.v1,,95,27.0,36,17.17,51.51,CMLX2736W;CMLX2736A,unresolved_exception,Imported source cell; production save/reopen and current custom authority not fully verified
lotus_vinyl_blinds,lotus_mlx_1in_vinyl_custom,Lotus.pdf West A26.v1,,95,30.0,36,18.3,54.9,CMLX3036W;CMLX3036A,unresolved_exception,Imported source cell; production save/reopen and current custom authority not fully verified
lotus_vinyl_blinds,lotus_mlx_1in_vinyl_custom,Lotus.pdf West A26.v1,,95,35.0,36,15.71,47.13,CMLX3536W;CMLX3536A,unresolved_exception,Imported source cell; production save/reopen and current custom authority not fully verified
lotus_vinyl_blinds,lotus_mlx_1in_vinyl_custom,Lotus.pdf West A26.v1,,95,39.0,36,16.7,50.1,CMLX3936W;CMLX3936A,unresolved_exception,Imported source cell; production save/reopen and current custom authority not fully verified
lotus_vinyl_blinds,lotus_mlx_1in_vinyl_custom,Lotus.pdf West A26.v1,,95,43.0,36,17.7,53.1,CMLX4336W;CMLX4336A,unresolved_exception,Imported source cell; production save/reopen and current custom authority not fully verified
lotus_vinyl_blinds,lotus_mlx_1in_vinyl_custom,Lotus.pdf West A26.v1,,95,48.0,36,18.94,56.82,CMLX4836W;CMLX4836A,unresolved_exception,Imported source cell; production save/reopen and current custom authority not fully verified
lotus_vinyl_blinds,lotus_mlx_1in_vinyl_custom,Lotus.pdf West A26.v1,,95,54.0,36,20.42,61.26,CMLX5436W;CMLX5436A,unresolved_exception,Imported source cell; production save/reopen and current custom authority not fully verified
lotus_vinyl_blinds,lotus_mlx_1in_vinyl_custom,Lotus.pdf West A26.v1,,95,59.0,36,21.67,65.01,CMLX5936W;CMLX5936A,unresolved_exception,Imported source cell; production save/reopen and current custom authority not fully verified
lotus_vinyl_blinds,lotus_mlx_1in_vinyl_custom,Lotus.pdf West A26.v1,,95,63.0,36,22.67,68.01,CMLX6336W;CMLX6336A,unresolved_exception,Imported source cell; production save/reopen and current custom authority not fully verified
lotus_vinyl_blinds,lotus_mlx_1in_vinyl_custom,Lotus.pdf West A26.v1,,95,69.0,36,24.15,72.45,CMLX6936W;CMLX6936A,unresolved_exception,Imported source cell; production save/reopen and current custom authority not fully verified
lotus_vinyl_blinds,lotus_mlx_1in_vinyl_custom,Lotus.pdf West A26.v1,,95,72.0,36,24.9,74.7,CMLX7236W;CMLX7236A,unresolved_exception,Imported source cell; production save/reopen and current custom authority not fully verified
lotus_vinyl_blinds,lotus_mlx_1in_vinyl_custom,Lotus.pdf West A26.v1,,95,17.0,48,15.54,46.62,CMLX1748W;CMLX1748A,unresolved_exception,Imported source cell; production save/reopen and current custom authority not fully verified
lotus_vinyl_blinds,lotus_mlx_1in_vinyl_custom,Lotus.pdf West A26.v1,,95,23.0,48,14.63,43.89,CMLX2348W;CMLX2348A,unresolved_exception,Imported source cell; production save/reopen and current custom authority not fully verified
lotus_vinyl_blinds,lotus_mlx_1in_vinyl_custom,Lotus.pdf West A26.v1,,95,27.0,48,15.96,47.88,CMLX2748W;CMLX2748A,unresolved_exception,Imported source cell; production save/reopen and current custom authority not fully verified
lotus_vinyl_blinds,lotus_mlx_1in_vinyl_custom,Lotus.pdf West A26.v1,,95,30.0,48,15.57,46.71,CMLX3048W;CMLX3048A,unresolved_exception,Imported source cell; production save/reopen and current custom authority not fully verified
lotus_vinyl_blinds,lotus_mlx_1in_vinyl_custom,Lotus.pdf West A26.v1,,95,35.0,48,17.0,51.0,CMLX3548W;CMLX3548A,unresolved_exception,Imported source cell; production save/reopen and current custom authority not fully verified
lotus_vinyl_blinds,lotus_mlx_1in_vinyl_custom,Lotus.pdf West A26.v1,,95,39.0,48,18.15,54.45,CMLX3948W;CMLX3948A,unresolved_exception,Imported source cell; production save/reopen and current custom authority not fully verified
lotus_vinyl_blinds,lotus_mlx_1in_vinyl_custom,Lotus.pdf West A26.v1,,95,43.0,48,19.29,57.87,CMLX4348W;CMLX4348A,unresolved_exception,Imported source cell; production save/reopen and current custom authority not fully verified
lotus_vinyl_blinds,lotus_mlx_1in_vinyl_custom,Lotus.pdf West A26.v1,,95,48.0,48,20.71,62.13,CMLX4848W;CMLX4848A,unresolved_exception,Imported source cell; production save/reopen and current custom authority not fully verified
lotus_vinyl_blinds,lotus_mlx_1in_vinyl_custom,Lotus.pdf West A26.v1,,95,54.0,48,22.43,67.29,CMLX5448W;CMLX5448A,unresolved_exception,Imported source cell; production save/reopen and current custom authority not fully verified
lotus_vinyl_blinds,lotus_mlx_1in_vinyl_custom,Lotus.pdf West A26.v1,,95,59.0,48,23.86,71.58,CMLX5948W;CMLX5948A,unresolved_exception,Imported source cell; production save/reopen and current custom authority not fully verified
lotus_vinyl_blinds,lotus_mlx_1in_vinyl_custom,Lotus.pdf West A26.v1,,95,63.0,48,25.0,75.0,CMLX6348W;CMLX6348A,unresolved_exception,Imported source cell; production save/reopen and current custom authority not fully verified
lotus_vinyl_blinds,lotus_mlx_1in_vinyl_custom,Lotus.pdf West A26.v1,,95,69.0,48,26.72,80.16,CMLX6948W;CMLX6948A,unresolved_exception,Imported source cell; production save/reopen and current custom authority not fully verified
lotus_vinyl_blinds,lotus_mlx_1in_vinyl_custom,Lotus.pdf West A26.v1,,95,72.0,48,27.57,82.71,CMLX7248W;CMLX7248A,unresolved_exception,Imported source cell; production save/reopen and current custom authority not fully verified
lotus_vinyl_blinds,lotus_mlx_1in_vinyl_custom,Lotus.pdf West A26.v1,,95,17.0,60,17.67,53.01,CMLX1760W;CMLX1760A,unresolved_exception,Imported source cell; production save/reopen and current custom authority not fully verified
lotus_vinyl_blinds,lotus_mlx_1in_vinyl_custom,Lotus.pdf West A26.v1,,95,23.0,60,16.53,49.59,CMLX2360W;CMLX2360A,unresolved_exception,Imported source cell; production save/reopen and current custom authority not fully verified
lotus_vinyl_blinds,lotus_mlx_1in_vinyl_custom,Lotus.pdf West A26.v1,,95,27.0,60,15.3,45.9,CMLX2760W;CMLX2760A,unresolved_exception,Imported source cell; production save/reopen and current custom authority not fully verified
lotus_vinyl_blinds,lotus_mlx_1in_vinyl_custom,Lotus.pdf West A26.v1,,95,30.0,60,16.22,48.66,CMLX3060W;CMLX3060A,unresolved_exception,Imported source cell; production save/reopen and current custom authority not fully verified
lotus_vinyl_blinds,lotus_mlx_1in_vinyl_custom,Lotus.pdf West A26.v1,,95,35.0,60,17.75,53.25,CMLX3560W;CMLX3560A,unresolved_exception,Imported source cell; production save/reopen and current custom authority not fully verified
lotus_vinyl_blinds,lotus_mlx_1in_vinyl_custom,Lotus.pdf West A26.v1,,95,39.0,60,18.98,56.94,CMLX3960W;CMLX3960A,unresolved_exception,Imported source cell; production save/reopen and current custom authority not fully verified
lotus_vinyl_blinds,lotus_mlx_1in_vinyl_custom,Lotus.pdf West A26.v1,,95,43.0,60,20.2,60.6,CMLX4360W;CMLX4360A,unresolved_exception,Imported source cell; production save/reopen and current custom authority not fully verified
lotus_vinyl_blinds,lotus_mlx_1in_vinyl_custom,Lotus.pdf West A26.v1,,95,48.0,60,21.74,65.22,CMLX4860W;CMLX4860A,unresolved_exception,Imported source cell; production save/reopen and current custom authority not fully verified
lotus_vinyl_blinds,lotus_mlx_1in_vinyl_custom,Lotus.pdf West A26.v1,,95,54.0,60,23.59,70.77,CMLX5460W;CMLX5460A,unresolved_exception,Imported source cell; production save/reopen and current custom authority not fully verified
lotus_vinyl_blinds,lotus_mlx_1in_vinyl_custom,Lotus.pdf West A26.v1,,95,59.0,60,25.12,75.36,CMLX5960W;CMLX5960A,unresolved_exception,Imported source cell; production save/reopen and current custom authority not fully verified
lotus_vinyl_blinds,lotus_mlx_1in_vinyl_custom,Lotus.pdf West A26.v1,,95,63.0,60,26.35,79.05,CMLX6360W;CMLX6360A,unresolved_exception,Imported source cell; production save/reopen and current custom authority not fully verified
lotus_vinyl_blinds,lotus_mlx_1in_vinyl_custom,Lotus.pdf West A26.v1,,95,69.0,60,28.19,84.57,CMLX6960W;CMLX6960A,unresolved_exception,Imported source cell; production save/reopen and current custom authority not fully verified
lotus_vinyl_blinds,lotus_mlx_1in_vinyl_custom,Lotus.pdf West A26.v1,,95,72.0,60,29.11,87.33,CMLX7260W;CMLX7260A,unresolved_exception,Imported source cell; production save/reopen and current custom authority not fully verified
