kind,sku,productIds,programIds,status,exception
custom,CMLX3936A,lotus_vinyl_blinds,lotus_mlx_1in_vinyl_custom,unresolved_exception,Not observed in current portal collection snapshot; absence is not discontinuation
custom,CMLX4336A,lotus_vinyl_blinds,lotus_mlx_1in_vinyl_custom,unresolved_exception,Not observed in current portal collection snapshot; absence is not discontinuation
custom,CMLX5436W,lotus_vinyl_blinds,lotus_mlx_1in_vinyl_custom,unresolved_exception,Not observed in current portal collection snapshot; absence is not discontinuation
custom,CMLX5436A,lotus_vinyl_blinds,lotus_mlx_1in_vinyl_custom,unresolved_exception,Not observed in current portal collection snapshot; absence is not discontinuation
custom,CMLX6336W,lotus_vinyl_blinds,lotus_mlx_1in_vinyl_custom,unresolved_exception,Not observed in current portal collection snapshot; absence is not discontinuation
custom,CMLX6336A,lotus_vinyl_blinds,lotus_mlx_1in_vinyl_custom,unresolved_exception,Not observed in current portal collection snapshot; absence is not discontinuation
custom,CMLX6936A,lotus_vinyl_blinds,lotus_mlx_1in_vinyl_custom,unresolved_exception,Not observed in current portal collection snapshot; absence is not discontinuation
custom,CMLX1748A,lotus_vinyl_blinds,lotus_mlx_1in_vinyl_custom,unresolved_exception,Not observed in current portal collection snapshot; absence is not discontinuation
custom,CMLX1760A,lotus_vinyl_blinds,lotus_mlx_1in_vinyl_custom,unresolved_exception,Not observed in current portal collection snapshot; absence is not discontinuation
custom,CMLX3060W,lotus_vinyl_blinds,lotus_mlx_1in_vinyl_custom,unresolved_exception,Not observed in current portal collection snapshot; absence is not discontinuation
custom,CMLX5960W,lotus_vinyl_blinds,lotus_mlx_1in_vinyl_custom,unresolved_exception,Not observed in current portal collection snapshot; absence is not discontinuation
custom,CMLX1764A,lotus_vinyl_blinds,lotus_mlx_1in_vinyl_custom,unresolved_exception,Not observed in current portal collection snapshot; absence is not discontinuation
custom,CMLX1784A,lotus_vinyl_blinds,lotus_mlx_1in_vinyl_custom,unresolved_exception,Not observed in current portal collection snapshot; absence is not discontinuation
custom,CMLX2784A,lotus_vinyl_blinds,lotus_mlx_1in_vinyl_custom,unresolved_exception,Not observed in current portal collection snapshot; absence is not discontinuation
custom,CMLX1796W,lotus_vinyl_blinds,lotus_mlx_1in_vinyl_custom,unresolved_exception,Not observed in current portal collection snapshot; absence is not discontinuation
custom,CMLX1796A,lotus_vinyl_blinds,lotus_mlx_1in_vinyl_custom,unresolved_exception,Not observed in current portal collection snapshot; absence is not discontinuation
custom,CMLX2396A,lotus_vinyl_blinds,lotus_mlx_1in_vinyl_custom,unresolved_exception,Not observed in current portal collection snapshot; absence is not discontinuation
custom,CMLX2796W,lotus_vinyl_blinds,lotus_mlx_1in_vinyl_custom,unresolved_exception,Not observed in current portal collection snapshot; absence is not discontinuation
custom,CMLX2796A,lotus_vinyl_blinds,lotus_mlx_1in_vinyl_custom,unresolved_exception,Not observed in current portal collection snapshot; absence is not discontinuation
custom,CMLX3096W,lotus_vinyl_blinds,lotus_mlx_1in_vinyl_custom,unresolved_exception,Not observed in current portal collection snapshot; absence is not discontinuation
custom,CMLX3096A,lotus_vinyl_blinds,lotus_mlx_1in_vinyl_custom,unresolved_exception,Not observed in current portal collection snapshot; absence is not discontinuation
custom,CMLX3996A,lotus_vinyl_blinds,lotus_mlx_1in_vinyl_custom,unresolved_exception,Not observed in current portal collection snapshot; absence is not discontinuation
custom,CMLX4396A,lotus_vinyl_blinds,lotus_mlx_1in_vinyl_custom,unresolved_exception,Not observed in current portal collection snapshot; absence is not discontinuation
custom,CRLX1736W,lotus_vinyl_blinds,lotus_rlx_1in_vinyl_plus_custom,unresolved_exception,Not observed in current portal collection snapshot; absence is not discontinuation
custom,CRLX7836W,lotus_vinyl_blinds,lotus_rlx_1in_vinyl_plus_custom,unresolved_exception,Not observed in current portal collection snapshot; absence is not discontinuation
custom,CRLX82536W,lotus_vinyl_blinds,lotus_rlx_1in_vinyl_plus_custom,unresolved_exception,Not observed in current portal collection snapshot; absence is not discontinuation
custom,CRLX8736W,lotus_vinyl_blinds,lotus_rlx_1in_vinyl_plus_custom,unresolved_exception,Not observed in current portal collection snapshot; absence is not discontinuation
custom,CRLX9536W,lotus_vinyl_blinds,lotus_rlx_1in_vinyl_plus_custom,unresolved_exception,Not observed in current portal collection snapshot; absence is not discontinuation
custom,CRLX1748W,lotus_vinyl_blinds,lotus_rlx_1in_vinyl_plus_custom,unresolved_exception,Not observed in current portal collection snapshot; absence is not discontinuation
custom,CRLX1760W,lotus_vinyl_blinds,lotus_rlx_1in_vinyl_plus_custom,unresolved_exception,Not observed in current portal collection snapshot; absence is not discontinuation
